Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
SRR22134165_1	(62, 1.0)	(63, 5.0)	(64, 23.0)	(65, 183.0)	(66, 843.0)	(67, 635.0)	(68, 1115.0)	(69, 278.0)	(70, 2027.0)	(71, 19831.0)	(72, 80739.0)	(73, 477825.0)	(74, 1653282.0)	(75, 5468419.0)	(76, 15466899.0)																											
SRR22134165_1_paired	(36, 11081.0)	(37, 11825.0)	(38, 11669.0)	(39, 12622.0)	(40, 13441.0)	(41, 14136.0)	(42, 14869.0)	(43, 15736.0)	(44, 17484.0)	(45, 20274.0)	(46, 24277.0)	(47, 26991.0)	(48, 28845.0)	(49, 28523.0)	(50, 27611.0)	(51, 26741.0)	(52, 24806.0)	(53, 22228.0)	(54, 19384.0)	(55, 16672.0)	(56, 15086.0)	(57, 13976.0)	(58, 12554.0)	(59, 11975.0)	(60, 10971.0)	(61, 10540.0)	(62, 9796.0)	(63, 9450.0)	(64, 9420.0)	(65, 9177.0)	(66, 9695.0)	(67, 10105.0)	(68, 10416.0)	(69, 9775.0)	(70, 11146.0)	(71, 27639.0)	(72, 85034.0)	(73, 469002.0)	(74, 1594010.0)	(75, 5321077.0)	(76, 13695271.0)	
SRR22134165_2	(63, 2.0)	(64, 29.0)	(65, 144.0)	(66, 772.0)	(67, 625.0)	(68, 1094.0)	(69, 318.0)	(70, 2563.0)	(71, 21142.0)	(72, 82263.0)	(73, 367735.0)	(74, 1398602.0)	(75, 5482391.0)	(76, 15814425.0)																												
SRR22134165_2_paired	(36, 22857.0)	(37, 23599.0)	(38, 23392.0)	(39, 22043.0)	(40, 23277.0)	(41, 22930.0)	(42, 22425.0)	(43, 23574.0)	(44, 23313.0)	(45, 23214.0)	(46, 22766.0)	(47, 22551.0)	(48, 22339.0)	(49, 22031.0)	(50, 22006.0)	(51, 21191.0)	(52, 21086.0)	(53, 21161.0)	(54, 20421.0)	(55, 20498.0)	(56, 20538.0)	(57, 20662.0)	(58, 20611.0)	(59, 20624.0)	(60, 21323.0)	(61, 22015.0)	(62, 22899.0)	(63, 22379.0)	(64, 24204.0)	(65, 24263.0)	(66, 24753.0)	(67, 24561.0)	(68, 26036.0)	(69, 25072.0)	(70, 27691.0)	(71, 46569.0)	(72, 109992.0)	(73, 394811.0)	(74, 1399286.0)	(75, 5160987.0)	(76, 13839380.0)	
SRR22134166_1	(63, 8.0)	(64, 50.0)	(65, 280.0)	(66, 1221.0)	(67, 787.0)	(68, 1391.0)	(69, 545.0)	(70, 2366.0)	(71, 26959.0)	(72, 118503.0)	(73, 630250.0)	(74, 2226346.0)	(75, 7139236.0)	(76, 20639039.0)																												
SRR22134166_1_paired	(36, 11543.0)	(37, 12391.0)	(38, 12206.0)	(39, 12668.0)	(40, 13058.0)	(41, 13405.0)	(42, 14060.0)	(43, 14744.0)	(44, 15692.0)	(45, 17566.0)	(46, 20437.0)	(47, 21836.0)	(48, 23036.0)	(49, 22830.0)	(50, 22504.0)	(51, 22051.0)	(52, 20729.0)	(53, 18979.0)	(54, 16999.0)	(55, 15142.0)	(56, 13785.0)	(57, 12829.0)	(58, 11635.0)	(59, 10935.0)	(60, 10098.0)	(61, 9739.0)	(62, 9056.0)	(63, 8873.0)	(64, 8766.0)	(65, 8688.0)	(66, 9279.0)	(67, 8989.0)	(68, 9516.0)	(69, 8692.0)	(70, 10503.0)	(71, 33398.0)	(72, 118913.0)	(73, 605352.0)	(74, 2110216.0)	(75, 6882020.0)	(76, 18336319.0)	
SRR22134166_2	(62, 1.0)	(63, 11.0)	(64, 76.0)	(65, 299.0)	(66, 1111.0)	(67, 855.0)	(68, 1403.0)	(69, 589.0)	(70, 2568.0)	(71, 27224.0)	(72, 116660.0)	(73, 501109.0)	(74, 1844718.0)	(75, 6891798.0)	(76, 21398559.0)																											
SRR22134166_2_paired	(36, 37231.0)	(37, 38149.0)	(38, 37936.0)	(39, 35649.0)	(40, 37145.0)	(41, 36976.0)	(42, 35727.0)	(43, 37697.0)	(44, 37304.0)	(45, 36494.0)	(46, 36288.0)	(47, 35616.0)	(48, 35090.0)	(49, 34747.0)	(50, 34613.0)	(51, 33253.0)	(52, 33511.0)	(53, 33494.0)	(54, 32235.0)	(55, 32451.0)	(56, 32018.0)	(57, 32708.0)	(58, 32568.0)	(59, 31972.0)	(60, 32858.0)	(61, 33714.0)	(62, 34560.0)	(63, 34202.0)	(64, 36688.0)	(65, 36280.0)	(66, 36958.0)	(67, 36871.0)	(68, 38614.0)	(69, 37140.0)	(70, 40179.0)	(71, 66618.0)	(72, 159140.0)	(73, 542323.0)	(74, 1831506.0)	(75, 6448553.0)	(76, 18292401.0)	
SRR22134167_1	(60, 1.0)	(61, 0.0)	(62, 1.0)	(63, 11.0)	(64, 65.0)	(65, 233.0)	(66, 1172.0)	(67, 759.0)	(68, 1411.0)	(69, 480.0)	(70, 2259.0)	(71, 27181.0)	(72, 121874.0)	(73, 608332.0)	(74, 2143257.0)	(75, 6928467.0)	(76, 19760300.0)																									
SRR22134167_1_paired	(36, 9716.0)	(37, 10431.0)	(38, 10054.0)	(39, 10640.0)	(40, 10847.0)	(41, 10902.0)	(42, 11723.0)	(43, 11707.0)	(44, 12243.0)	(45, 13428.0)	(46, 15112.0)	(47, 16171.0)	(48, 17087.0)	(49, 17030.0)	(50, 16553.0)	(51, 16497.0)	(52, 15794.0)	(53, 14672.0)	(54, 13068.0)	(55, 11764.0)	(56, 10968.0)	(57, 10166.0)	(58, 9289.0)	(59, 8949.0)	(60, 8207.0)	(61, 8291.0)	(62, 7440.0)	(63, 7461.0)	(64, 7431.0)	(65, 7445.0)	(66, 8280.0)	(67, 7932.0)	(68, 8427.0)	(69, 7526.0)	(70, 9024.0)	(71, 32143.0)	(72, 119477.0)	(73, 573960.0)	(74, 1995384.0)	(75, 6564193.0)	(76, 17316328.0)	
SRR22134167_2	(62, 1.0)	(63, 14.0)	(64, 50.0)	(65, 284.0)	(66, 1137.0)	(67, 799.0)	(68, 1383.0)	(69, 531.0)	(70, 2554.0)	(71, 26758.0)	(72, 117683.0)	(73, 581849.0)	(74, 2044911.0)	(75, 6846176.0)	(76, 19971673.0)																											
SRR22134167_2_paired	(36, 44119.0)	(37, 45698.0)	(38, 44821.0)	(39, 42633.0)	(40, 43442.0)	(41, 42872.0)	(42, 41301.0)	(43, 43053.0)	(44, 42248.0)	(45, 41202.0)	(46, 41026.0)	(47, 39611.0)	(48, 39334.0)	(49, 38601.0)	(50, 38631.0)	(51, 37573.0)	(52, 38068.0)	(53, 37165.0)	(54, 36802.0)	(55, 37006.0)	(56, 36705.0)	(57, 36991.0)	(58, 36841.0)	(59, 36501.0)	(60, 37516.0)	(61, 38401.0)	(62, 39639.0)	(63, 39146.0)	(64, 41836.0)	(65, 41683.0)	(66, 42416.0)	(67, 41936.0)	(68, 44308.0)	(69, 42193.0)	(70, 45876.0)	(71, 71131.0)	(72, 168498.0)	(73, 620294.0)	(74, 1996232.0)	(75, 6275334.0)	(76, 16445077.0)	
SRR22134168_1	(62, 2.0)	(63, 10.0)	(64, 42.0)	(65, 230.0)	(66, 957.0)	(67, 548.0)	(68, 954.0)	(69, 469.0)	(70, 2133.0)	(71, 25121.0)	(72, 108995.0)	(73, 581123.0)	(74, 1991481.0)	(75, 6547100.0)	(76, 18612415.0)																											
