Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64
SRR22134163_1 - polya	(1, 0.019214864864569123)	(2, 0.021210759711549426)	(3, 0.02267266514771482)	(4, 0.024725460505683593)	(5, 0.028612203102434706)	(6, 0.032240704918545825)	(7, 0.033689479467560034)	(8, 0.0355890811420983)	(9, 0.03686277719576336)	(10, 0.04127475527856192)	(11, 0.04524903712298761)	(12, 0.049162041494041096)	(13, 0.053061914977943395)	(14, 0.05731632241492772)	(15, 0.06241548359197169)	(16, 0.0673220584241316)	(17, 0.07063979591099798)	(18, 0.07559889429176263)	(19, 0.07791868435513885)	(20, 0.0806674167321205)	(21, 0.0831535313660784)	(22, 0.08561776118811769)	(23, 0.08778873453044714)	(24, 0.09001660838376506)	(25, 0.09196873360690808)	(26, 0.09398651326580702)	(27, 0.0954309108524375)	(28, 0.09750996798470865)	(29, 0.09898938127040896)	(30, 0.1006263652019235)	(31, 0.10254785168838042)	(32, 0.10410605029698784)	(33, 0.10552856307169968)	(34, 0.10733624853617964)	(35, 0.10970418518577689)	(36, 0.11289499076351513)	(37, 0.11497842485817)	(38, 0.1172631992224764)	(39, 0.11914529304747976)	(40, 0.12160076894475157)	(41, 0.12385052760998815)	(42, 0.1258070297955149)	(43, 0.1282931444294728)	(44, 0.1301358455930226)	(45, 0.13172905990069986)	(46, 0.13333978205791203)	(47, 0.13473165609593776)	(48, 0.13643429446320823)	(49, 0.13829012651390923)	(50, 0.14131023055868205)	(51, 0.14734606168584397)	(52, 0.14903556916596325)	(53, 0.1524408459005042)	(54, 0.15451990303277535)	(55, 0.15735617465743157)	(56, 0.16361523086616364)	(57, 0.16578182724610938)	(58, 0.17298193036734313)	(59, 0.17510038016106783)	(60, 0.17738515452537423)	(61, 0.19396508803493867)	(62, 0.19674883611099014)	(63, 0.20080190327832295)	(64, 0.2022244160530348)	(65, 0.2022244160530348)
SRR22134163_1_paired - nextera_transposase_sequence	(1, 3.264488077902997e-05)	(2, 5.596265276405138e-05)	(3, 0.0001305795231161199)	(4, 0.0004337105589213982)	(5, 0.0009327108794008564)	(6, 0.0011705521536480748)	(7, 0.0012031970344271046)	(8, 0.001273150350382169)	(9, 0.0013990663191012845)	(10, 0.0015296458422174044)	(11, 0.0016229169301574902)	(12, 0.001734842235685593)	(13, 0.0017814777796556357)	(14, 0.0018327768780226827)	(15, 0.0019073937483747513)	(16, 0.0019586928467417984)	(17, 0.002056627489078888)	(18, 0.002182543457798004)	(19, 0.002317786535311128)	(20, 0.0024390389496332394)	(21, 0.0029753477052887316)	(22, 0.003628245320869331)	(23, 0.00454230198268217)	(24, 0.006468349948644939)	(25, 0.006990668041109418)	(26, 0.009229174151671474)	(27, 0.01192470859313995)	(28, 0.026078596188047944)	(29, 0.06978542799677208)	(30, 0.12230171406143729)	(31, 0.2448319422883278)	(32, 0.4067878593874925)	(33, 0.5920475578084876)	(34, 0.7986616718133653)	(35, 1.0179513266693005)	(36, 1.284067731225556)	(37, 1.672928887510964)	(38, 2.203618060118066)	(39, 2.8224390837197553)	(40, 3.47342930555198)	(41, 4.098504155600052)	(42, 4.712992737166925)	(43, 5.337400698936224)	(44, 5.955834647522963)	(45, 6.568942816988321)	(46, 7.193024329949831)	(47, 7.809457613700254)	(48, 8.431580433815023)	(49, 9.075071660176864)	(50, 9.720698794452534)	(51, 10.358318605828547)	(52, 10.961423451112333)	(53, 11.549805455164774)	(54, 12.120932307948301)	(55, 12.707290329392443)	(56, 13.294492454182443)	(57, 13.88517359055261)	(58, 14.48425378839178)	(59, 15.08288162145444)	(60, 15.679914518913325)	(61, 16.28153635389886)	(62, 16.858394715036308)	(63, 17.435607506307925)	(64, 17.998792325953353)	(65, 17.998792325953353)
SRR22134163_1_paired - polya	(1, 0.017604917848691164)	(2, 0.01909259170133553)	(3, 0.020267807409380608)	(4, 0.02215188338577034)	(5, 0.02578012870663967)	(6, 0.029170532753261782)	(7, 0.03059291684434809)	(8, 0.03236973106960672)	(9, 0.03361956364800387)	(10, 0.03777012706133768)	(11, 0.04157092389489617)	(12, 0.045269122531720565)	(13, 0.04884140519982584)	(14, 0.052819417100470493)	(15, 0.057664850118957944)	(16, 0.062151189448876064)	(17, 0.06518249980692885)	(18, 0.06978542799677208)	(19, 0.07194465368258506)	(20, 0.07461220679767151)	(21, 0.07705124574730475)	(22, 0.07947163047934996)	(23, 0.08156556640360489)	(24, 0.08372479208941787)	(25, 0.08568348493615967)	(26, 0.08761886001091646)	(27, 0.08902258988441474)	(28, 0.0909393107415835)	(29, 0.09237102194146381)	(30, 0.09390066778368121)	(31, 0.09564950068255783)	(32, 0.0970392398928651)	(33, 0.09825176403608621)	(34, 0.09974876499752458)	(35, 0.10185202803057351)	(36, 0.10468280554955511)	(37, 0.10644096555722574)	(38, 0.10840432195836454)	(39, 0.10987800514781788)	(40, 0.11203723083363087)	(41, 0.11394462458200562)	(42, 0.11554422374017809)	(43, 0.11768013165400605)	(44, 0.11905121664672531)	(45, 0.12038499320426853)	(46, 0.12167213421784172)	(47, 0.1227447517291527)	(48, 0.12400857497074086)	(49, 0.1250159027204938)	(50, 0.126349679278037)	(51, 0.1276414838460072)	(52, 0.12870477424852417)	(53, 0.12965613934551304)	(54, 0.130705439084839)	(55, 0.1318759912384871)	(56, 0.13314914158886926)	(57, 0.13443628260244245)	(58, 0.13545760101538637)	(59, 0.13621776038209807)	(60, 0.13705253661916184)	(61, 0.13807385503210579)	(62, 0.13892728548675756)	(63, 0.1396035008743232)	(64, 0.1403636602410349)	(65, 0.1403636602410349)
SRR22134163_2 - nextera_transposase_sequence	(1, 3.0638736686101106e-05)	(2, 5.6900510988473486e-05)	(3, 0.0001488167210467768)	(4, 0.0004508271255240592)	(5, 0.0009629317244203206)	(6, 0.0011861568059904858)	(7, 0.001216795542676587)	(8, 0.001278073016048789)	(9, 0.0014400206242467521)	(10, 0.0015669525333748852)	(11, 0.0016588687434331887)	(12, 0.0017945545773287793)	(13, 0.0018645859754684389)	(14, 0.0019521252231430135)	(15, 0.002070303207503689)	(16, 0.002153465492794535)	(17, 0.002319790063376227)	(18, 0.002507999445876562)	(19, 0.002674324016458254)	(20, 0.0028756642861097756)	(21, 0.0034402924336107816)	(22, 0.004188753001228395)	(23, 0.005199831311869731)	(24, 0.00727013451937342)	(25, 0.007970448500770017)	(26, 0.010360269962285904)	(27, 0.013218426398860764)	(28, 0.027614255678944558)	(29, 0.07127883241902237)	(30, 0.1237980040613834)	(31, 0.24615161053613632)	(32, 0.4075302136242146)	(33, 0.5917653142801242)	(34, 0.7972593212338044)	(35, 1.0149431684261692)	(36, 1.2791453718328027)	(37, 1.6642480302027913)	(38, 2.190240730742624)	(39, 2.7979732037985907)	(40, 3.437298591340311)	(41, 4.0504366129401825)	(42, 4.650828920078636)	(43, 5.261095654354782)	(44, 5.866131918582372)	(45, 6.467815429624025)	(46, 7.07822222669645)	(47, 7.68307028154154)	(48, 8.291791948096229)	(49, 8.919067558195545)	(50, 9.55002857062196)	(51, 10.171504705562835)	(52, 10.760210523136733)	(53, 11.334130961778396)	(54, 11.892211173553342)	(55, 12.464070062912269)	(56, 13.033775486778401)	(57, 13.60832620800332)	(58, 14.190081409311857)	(59, 14.771131919676613)	(60, 15.35038787546404)	(61, 15.935145672967815)	(62, 16.495751392038173)	(63, 17.05441373981016)	(64, 17.599958331318106)	(65, 17.599958331318106)
SRR22134163_2 - polya	(1, 0.02663819306737305)	(2, 0.029382548481970965)	(3, 0.03156227574906787)	(4, 0.033965228097734945)	(5, 0.03910378193623247)	(6, 0.04469753986263779)	(7, 0.04754694237444519)	(8, 0.05085154897416038)	(9, 0.05480832296905116)	(10, 0.06583826817604756)	(11, 0.08003275718647983)	(12, 0.09440232469226124)	(13, 0.11131053038060533)	(14, 0.13128698669994326)	(15, 0.15905881302470204)	(16, 0.1866117912302744)	(17, 0.2097702992025831)	(18, 0.24412945391485363)	(19, 0.2670559828808247)	(20, 0.29193463706993883)	(21, 0.3210939604703396)	(22, 0.3576634811863932)	(23, 0.39195260450052405)	(24, 0.42435963398965154)	(25, 0.46072781443605354)	(26, 0.4995077011558901)	(27, 0.5345146463009525)	(28, 0.5702656750512488)	(29, 0.6036662750014827)	(30, 0.6358807181457261)	(31, 0.6667601877629323)	(32, 0.6936916373100153)	(33, 0.717817453969128)	(34, 0.7413173650073676)	(35, 0.7658283543562484)	(36, 0.7919763276366438)	(37, 0.8136160296617987)	(38, 0.8372078569100966)	(39, 0.8556655072822806)	(40, 0.8764298168306897)	(41, 0.8969271316736913)	(42, 0.9153979129330265)	(43, 0.937400902836031)	(44, 0.9566682912492047)	(45, 0.9765309465465657)	(46, 0.9947609948747959)	(47, 1.0109688865817434)	(48, 1.0284285895304373)	(49, 1.045454973203142)	(50, 1.0644203512118386)	(51, 1.0829349020950112)	(52, 1.1003552123822515)	(53, 1.1173290725063516)	(54, 1.135020754461383)	(55, 1.1546514307524065)	(56, 1.1738181490307544)	(57, 1.1937333278767202)	(58, 1.2112149156373329)	(59, 1.2264642525822436)	(60, 1.2429260081074474)	(61, 1.260131847237885)	(62, 1.2762784614714604)	(63, 1.2919304789556743)	(64, 1.3070878996905269)	(65, 1.3070878996905269)
SRR22134163_2_paired - nextera_transposase_sequence	(1, 3.264488077902997e-05)	(2, 5.596265276405138e-05)	(3, 0.00014457018630713273)	(4, 0.00045236477650941533)	(5, 0.0009840099777679034)	(6, 0.0012218512520151218)	(7, 0.0012498325783971477)	(8, 0.0013151223399552076)	(9, 0.0014503654174683317)	(10, 0.0015669542773934387)	(11, 0.0016508982565395158)	(12, 0.00178614133405264)	(13, 0.0018467675412136956)	(14, 0.0019260479659627685)	(15, 0.0020286461626968628)	(16, 0.0020985994786519267)	(17, 0.0022291790017680466)	(18, 0.002401730514457205)	(19, 0.0025509642551613423)	(20, 0.0027235157678505008)	(21, 0.003292469404285023)	(22, 0.0040339745534087035)	(23, 0.005050629411955637)	(24, 0.0071399017818135554)	(25, 0.00783010783257019)	(26, 0.010283137445394441)	(27, 0.013193195389125114)	(28, 0.02813522367712683)	(29, 0.07377276700621073)	(30, 0.12912915769865155)	(31, 0.25804379189504095)	(32, 0.4282495367225062)	(33, 0.6225332129017046)	(34, 0.8392345950673026)	(35, 1.0685835367575762)	(36, 1.3472029306522)	(37, 1.7534404906208458)	(38, 2.3074754165393516)	(39, 2.948131201827815)	(40, 3.6216184100711883)	(41, 4.2671709274765055)	(42, 4.898914660312294)	(43, 5.540908885712698)	(44, 6.177474733794988)	(45, 6.810421663665203)	(46, 7.452112758029801)	(47, 8.08762464281837)	(48, 8.727259109693888)	(49, 9.385547794157425)	(50, 10.047660593226505)	(51, 10.699415637979838)	(52, 11.317024137438306)	(53, 11.918678617304622)	(54, 12.503054628130037)	(55, 13.101701115410286)	(56, 13.69780130198977)	(57, 14.298774902914124)	(58, 14.906963022490643)	(59, 15.51373808508487)	(60, 16.118638398811502)	(61, 16.72886449165951)	(62, 17.31358560551031)	(63, 17.895774409323526)	(64, 18.46375802644347)	(65, 18.46375802644347)
SRR22134163_2_paired - polya	(1, 0.020431031813275758)	(2, 0.021536294205365774)	(3, 0.022473668639163634)	(4, 0.023821435859897874)	(5, 0.026535624518954363)	(6, 0.029496981561052082)	(7, 0.03127845934070772)	(8, 0.03328378773141956)	(9, 0.03570417246346478)	(10, 0.043776785124679196)	(11, 0.05343500628087506)	(12, 0.06438036845064411)	(13, 0.07722846081439091)	(14, 0.09266016231407807)	(15, 0.11472343816630533)	(16, 0.1366607980498135)	(17, 0.1541164821578005)	(18, 0.1798033397765001)	(19, 0.1964802103001874)	(20, 0.21366540825314817)	(21, 0.23295853279355488)	(22, 0.2556280707173927)	(23, 0.27625497181534264)	(24, 0.29617301264494794)	(25, 0.3179098396893849)	(26, 0.34171728488609177)	(27, 0.3605766988675771)	(28, 0.3806719547642685)	(29, 0.39863596630152903)	(30, 0.4161849214974561)	(31, 0.4342328770138627)	(32, 0.449790494482269)	(33, 0.463977026957956)	(34, 0.4789656907899278)	(35, 0.4956752061943941)	(36, 0.5144273584247483)	(37, 0.5294160222567201)	(38, 0.5466991548520179)	(39, 0.5604519767687836)	(40, 0.5759629586932198)	(41, 0.5915905294775812)	(42, 0.6053293607311558)	(43, 0.6216891095558468)	(44, 0.6361647824041481)	(45, 0.6508503152003146)	(46, 0.6641927443301439)	(47, 0.6758656209858456)	(48, 0.6888489564271054)	(49, 0.7012819924495189)	(50, 0.7152866463037227)	(51, 0.7289928326765184)	(52, 0.7418409250402651)	(53, 0.7541480450939594)	(54, 0.7673365769286875)	(55, 0.7821060537040001)	(56, 0.7962133057549381)	(57, 0.8116496708090222)	(58, 0.8246889689030462)	(59, 0.8361613127196768)	(60, 0.8482958812606819)	(61, 0.8616662917168931)	(62, 0.8738288415842803)	(63, 0.8856416248718921)	(64, 0.8966755945752043)	(65, 0.8966755945752043)
SRR22134164_1 - nextera_transposase_sequence	(1, 4.078927741264803e-06)	(2, 4.078927741264803e-06)	(3, 1.631571096505921e-05)	(4, 0.00013460461546173849)	(5, 0.00024065673673462338)	(6, 0.00033855100252497863)	(7, 0.00034670885800750824)	(8, 0.00035486671349003784)	(9, 0.0004160506296090099)	(10, 0.00046091883476292273)	(11, 0.0005384184618469539)	(12, 0.0006036813057071908)	(13, 0.0006281548721547796)	(14, 0.0006567073663436332)	(15, 0.0007056544992388109)	(16, 0.0007709173430990477)	(17, 0.000828022331476755)	(18, 0.000868811608889403)	(19, 0.0009177587417845807)	(20, 0.0009830215856448175)	(21, 0.001178810117225528)	(22, 0.0014602561313727994)	(23, 0.001839596411310426)	(24, 0.0027491972976124773)	(25, 0.0030551168782073372)	(26, 0.004017743825145831)	(27, 0.005547341728120132)	(28, 0.014255852455720487)	(29, 0.04259216347428707)	(30, 0.07760975813304541)	(31, 0.15699792876128227)	(32, 0.26340899567539844)	(33, 0.3864049827854973)	(34, 0.5233141924210504)	(35, 0.668609677492644)	(36, 0.8464835584337195)	(37, 1.099405630886326)	(38, 1.4411626706159388)	(39, 1.8384420747596482)	(40, 2.2590774191498397)	(41, 2.6751158119756258)	(42, 3.0795782078717022)	(43, 3.4895186037242976)	(44, 3.906425808158973)	(45, 4.3234227490039565)	(46, 4.753227522956511)	(47, 5.183199532946458)	(48, 5.625082011940898)	(49, 6.082358364230871)	(50, 6.534295400107529)	(51, 6.9847436273586245)	(52, 7.417317993247498)	(53, 7.840009117219287)	(54, 8.25758118687579)	(55, 8.682850193180057)	(56, 9.109318404240257)	(57, 9.545486305469185)	(58, 9.987744045815822)	(59, 10.429516393761247)	(60, 10.875216749121511)	(61, 11.32009316107804)	(62, 11.749726620065461)	(63, 12.17564417588059)	(64, 12.597902933511806)	(65, 12.597902933511806)
SRR22134164_1 - polya	(1, 0.0035894564123130266)	(2, 0.00435629482767081)	(3, 0.004988528627566854)	(4, 0.005914445224833964)	(5, 0.008121145132858222)	(6, 0.010384950029260188)	(7, 0.011282314132338446)	(8, 0.012187836090899231)	(9, 0.012681386347592272)	(10, 0.014973743738183092)	(11, 0.01732320611715162)	(12, 0.019782799545134296)	(13, 0.02216489334603294)	(14, 0.024979353487505653)	(15, 0.02819762747536358)	(16, 0.03141590146322151)	(17, 0.03378983740863763)	(18, 0.03732218883257295)	(19, 0.03924336379870867)	(20, 0.040879013822955855)	(21, 0.04251466384720304)	(22, 0.04386886785730296)	(23, 0.045263861144815516)	(24, 0.04667924907103441)	(25, 0.047707138861833136)	(26, 0.048955290750660165)	(27, 0.049795549865360715)	(28, 0.05099883354903383)	(29, 0.051998170845643704)	(30, 0.05329934879510718)	(31, 0.054869735975494126)	(32, 0.055987362176600684)	(33, 0.05702340982288195)	(34, 0.058442876676842094)	(35, 0.060241683810739875)	(36, 0.06267680367227496)	(37, 0.06441850581779503)	(38, 0.0660908661917136)	(39, 0.06740020199665961)	(40, 0.06933769267376039)	(41, 0.07131189370053255)	(42, 0.0731025429789478)	(43, 0.07515016470506272)	(44, 0.07658186834224667)	(45, 0.07797278270201798)	(46, 0.07924132922955132)	(47, 0.0804731654074133)	(48, 0.08190894797233851)	(49, 0.08311223165601163)	(50, 0.08455209314867809)	(51, 0.08596748107489699)	(52, 0.08728905366306679)	(53, 0.08861878410671911)	(54, 0.08964259496977657)	(55, 0.09117219287275087)	(56, 0.09276705361958541)	(57, 0.09441494042705639)	(58, 0.09597309082421955)	(59, 0.0972294005685291)	(60, 0.09866110420571306)	(61, 0.102156745279977)	(62, 0.1039514734861335)	(63, 0.1059338323683882)	(64, 0.10704330071401222)	(65, 0.10704330071401222)
SRR22134164_1_paired - nextera_transposase_sequence	(1, 4.406107587718222e-06)	(2, 4.406107587718222e-06)	(3, 1.7624430350872887e-05)	(4, 0.00014540155039470133)	(5, 0.0002599603476753751)	(6, 0.0003657069297806124)	(7, 0.00037011303736833064)	(8, 0.0003789252525437671)	(9, 0.0004406107587718222)	(10, 0.0004890779422367227)	(11, 0.0005727939864033689)	(12, 0.0006432917078068604)	(13, 0.0006697283533331698)	(14, 0.0007005711064471973)	(15, 0.0007490382899120977)	(16, 0.0008195360113155892)	(17, 0.0008812215175436444)	(18, 0.0009252825934208266)	(19, 0.0009781558844734453)	(20, 0.0010486536058769368)	(21, 0.0012601467700874113)	(22, 0.0015641681936399688)	(23, 0.001969530091710045)	(24, 0.002943279868595772)	(25, 0.003273737937674639)	(26, 0.004313579328376139)	(27, 0.0059614635661827545)	(28, 0.015328848297671694)	(29, 0.04578386394398004)	(30, 0.08340321052791821)	(31, 0.16864817402750265)	(32, 0.2828809193466853)	(33, 0.4147953744153811)	(34, 0.5616685647443803)	(35, 0.7174685290460967)	(36, 0.9080767432907869)	(37, 1.179122857656861)	(38, 1.5451470271837893)	(39, 1.9704509681958782)	(40, 2.420451142237128)	(41, 2.865525287995309)	(42, 3.297958311084326)	(43, 3.736057588531149)	(44, 4.18130357248525)	(45, 4.626545150331764)	(46, 5.084723060055819)	(47, 5.543041965222681)	(48, 6.014134176286338)	(49, 6.501489330456263)	(50, 6.982759650047549)	(51, 7.462421740369317)	(52, 7.92297894819074)	(53, 8.372745598529841)	(54, 8.816850400618723)	(55, 9.269119720067648)	(56, 9.72224382438859)	(57, 10.185546037237161)	(58, 10.655193045012046)	(59, 11.124038141205967)	(60, 11.597324593848308)	(61, 12.069364118043323)	(62, 12.52466043340501)	(63, 12.975929566431523)	(64, 13.42309661329387)	(65, 13.42309661329387)
SRR22134164_2 - nextera_transposase_sequence	(1, 1.2236783223794409e-05)	(2, 1.631571096505921e-05)	(3, 3.263142193011842e-05)	(4, 0.00020802531480450495)	(5, 0.00035078778574877304)	(6, 0.0004527609792803931)	(7, 0.00046907669024545234)	(8, 0.00048131347346924675)	(9, 0.0006444705831198388)	(10, 0.0007831541263228422)	(11, 0.0009096008863020511)	(12, 0.0009830215856448175)	(13, 0.0010401265740225248)	(14, 0.0011298629843303504)	(15, 0.0012644675997920888)	(16, 0.001386835432030033)	(17, 0.0015295979029743012)	(18, 0.001651965735212245)	(19, 0.0018069649893803076)	(20, 0.002010911376443548)	(21, 0.002341304523485997)	(22, 0.002814460141472714)	(23, 0.0033814310975085215)	(24, 0.004564320142475315)	(25, 0.005159843592699976)	(26, 0.006391679770561946)	(27, 0.008202723687683518)	(28, 0.017551626070662445)	(29, 0.04748279783606357)	(30, 0.08456840885964316)	(31, 0.16813748042267643)	(32, 0.27993273195526214)	(33, 0.40914500494304856)	(34, 0.5518422130434565)	(35, 0.7034355625475629)	(36, 0.8886025662900199)	(37, 1.1515465642029141)	(38, 1.5075880088824363)	(39, 1.9166473563429183)	(40, 2.3495480364510932)	(41, 2.776950321964043)	(42, 3.190941093063714)	(43, 3.6097613146090426)	(44, 4.036927022312999)	(45, 4.46472088488911)	(46, 4.903886798007868)	(47, 5.344610861523789)	(48, 5.796547897400447)	(49, 6.261398818505948)	(50, 6.722317653268871)	(51, 7.180393475396132)	(52, 7.620175306603821)	(53, 8.049922975567998)	(54, 8.474894220147155)	(55, 8.90670174762067)	(56, 9.338235986935521)	(57, 9.779641231384232)	(58, 10.226112504087595)	(59, 10.671816938375601)	(60, 11.121514642922303)	(61, 11.570261957305293)	(62, 12.003183032052174)	(63, 12.430756632530256)	(64, 12.854602093052824)	(65, 12.854602093052824)
SRR22134164_2 - polya	(1, 0.00837403865281664)	(2, 0.009618111613902405)	(3, 0.010784684947904138)	(4, 0.012375466766997412)	(5, 0.01603426495091194)	(6, 0.021026872506220057)	(7, 0.023486465934202734)	(8, 0.02584408616865379)	(9, 0.02793249717218137)	(10, 0.0353806192277309)	(11, 0.04512109867387125)	(12, 0.0582797195671915)	(13, 0.07308214834024147)	(14, 0.09149034923656953)	(15, 0.11816653666444134)	(16, 0.14843218050462617)	(17, 0.17154338508663255)	(18, 0.20703821429111888)	(19, 0.2289950823223473)	(20, 0.2503890583252812)	(21, 0.274169207056855)	(22, 0.29737422697691046)	(23, 0.31982464526483195)	(24, 0.3439229503602244)	(25, 0.36979151009532574)	(26, 0.4016153043326738)	(27, 0.4232988842052374)	(28, 0.44626324738855827)	(29, 0.46771840730761116)	(30, 0.49207776377844453)	(31, 0.5194963160552266)	(32, 0.542423968888876)	(33, 0.5640178123511319)	(34, 0.5869577019680051)	(35, 0.6146740159698995)	(36, 0.6469016240536327)	(37, 0.6731168926467416)	(38, 0.6998828164849212)	(39, 0.722830863957277)	(40, 0.7484587669556437)	(41, 0.7752369275770472)	(42, 0.7986377360286834)	(43, 0.8256483955313388)	(44, 0.8501505144731165)	(45, 0.8754113139747695)	(46, 0.8989467270418674)	(47, 0.9193984707365691)	(48, 0.9425259910295405)	(49, 0.964560358687853)	(50, 0.9899598417327089)	(51, 1.0144293292525566)	(52, 1.0369857996617509)	(53, 1.05913845622456)	(54, 1.0810667717615996)	(55, 1.1067028326154489)	(56, 1.132200209926095)	(57, 1.1595453415035344)	(58, 1.1821426011901415)	(59, 1.2032918415285994)	(60, 1.226468308954466)	(61, 1.2495999081751787)	(62, 1.2713365141083788)	(63, 1.2920452302507803)	(64, 1.3128763142254196)	(65, 1.3128763142254196)
SRR22134164_2_paired - nextera_transposase_sequence	(1, 4.406107587718222e-06)	(2, 4.406107587718222e-06)	(3, 2.203053793859111e-05)	(4, 0.00017183819592101065)	(5, 0.0003216458539034302)	(6, 0.00043179854359638573)	(7, 0.0004406107587718222)	(8, 0.00044501686635954043)	(9, 0.0005727939864033689)	(10, 0.0006829466760963244)	(11, 0.0007842871506138435)	(12, 0.0008635970871927715)	(13, 0.0009032520554822355)	(14, 0.0009825619920611635)	(15, 0.001070684143815528)	(16, 0.0011676185107453289)	(17, 0.0012821773080260025)	(18, 0.0013791116749558034)	(19, 0.0015024826874119137)	(20, 0.001665508668157488)	(21, 0.0019563117689468906)	(22, 0.002370485882192403)	(23, 0.0029080310078940263)	(24, 0.004040400657937609)	(25, 0.004529478600174332)	(26, 0.005789625370261744)	(27, 0.00763137834192796)	(28, 0.017509871553592214)	(29, 0.04928671947621603)	(30, 0.08895490608844318)	(31, 0.17834161072048274)	(32, 0.2979321828663307)	(33, 0.43603721909577065)	(34, 0.5887969691619614)	(35, 0.750972571143106)	(36, 0.9491152293627945)	(37, 1.2304936660220678)	(38, 1.6112254226767995)	(39, 2.048531600757833)	(40, 2.5112830501579393)	(41, 2.968051005453924)	(42, 3.4102699934952634)	(43, 3.8574766953258997)	(44, 4.313372241319517)	(45, 4.769827362976773)	(46, 5.238002730817361)	(47, 5.70789207450957)	(48, 6.189691127011383)	(49, 6.68518876800341)	(50, 7.175747162389607)	(51, 7.663454805166549)	(52, 8.131515614209855)	(53, 8.588834332954304)	(54, 9.040663041644459)	(55, 9.499880792759214)	(56, 9.957983798654277)	(57, 10.426687899405392)	(58, 10.900758639198346)	(59, 11.373630917727441)	(60, 11.850847618338026)	(61, 12.326742486672295)	(62, 12.785272885003367)	(63, 13.237709636540625)	(64, 13.685854839287446)	(65, 13.685854839287446)
SRR22134164_2_paired - polya	(1, 0.004066837303463919)	(2, 0.004340015973902448)	(3, 0.004644037397455006)	(4, 0.005194800845919783)	(5, 0.006758969039559752)	(6, 0.009283668687322293)	(7, 0.010702435330567561)	(8, 0.012253385201444375)	(9, 0.013720619028154543)	(10, 0.01942652835424964)	(11, 0.02730905482867754)	(12, 0.03860190857599934)	(13, 0.05145893051696111)	(14, 0.06744869495279054)	(15, 0.0913782652616882)	(16, 0.11867410176760258)	(17, 0.1393784013222905)	(18, 0.17126099582701956)	(19, 0.1910003578199972)	(20, 0.21034757623766792)	(21, 0.23143961326007503)	(22, 0.2519764807264297)	(23, 0.27182158930151257)	(24, 0.29287837746321793)	(25, 0.31555661321720363)	(26, 0.3432489994060126)	(27, 0.36130082219289417)	(28, 0.3806127917498632)	(29, 0.3982680648538501)	(30, 0.41828941773244166)	(31, 0.4417871894977429)	(32, 0.46099341247260667)	(33, 0.4789835497532602)	(34, 0.4982602704495274)	(35, 0.5218109155058813)	(36, 0.5487939183730677)	(37, 0.5710183250455184)	(38, 0.5932647622559077)	(39, 0.6124445485852451)	(40, 0.6341270040244065)	(41, 0.6566378076900589)	(42, 0.6760334932911944)	(43, 0.6982314633181189)	(44, 0.7184731215760964)	(45, 0.7392038577763106)	(46, 0.7585158273332796)	(47, 0.7753427522107755)	(48, 0.7940510850282271)	(49, 0.8118914146508982)	(50, 0.832957015027779)	(51, 0.8530224289822478)	(52, 0.8715809541417169)	(53, 0.8897693662638178)	(54, 0.9076052897789011)	(55, 0.9287898550606503)	(56, 0.9499303592665224)	(57, 0.9726350316660343)	(58, 0.9908983476171264)	(59, 1.00813504050028)	(60, 1.0270063992984773)	(61, 1.04594384971049)	(62, 1.0637489304724594)	(63, 1.0801793056670608)	(64, 1.096371751051925)	(65, 1.096371751051925)
