Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR22134165_2_paired	(1.0, 50.62030619056974)	(2.0, 15.113727295920048)	(3.0, 5.636521952626046)	(4.0, 2.788761198491183)	(5.0, 1.7663736796701333)	(6.0, 1.2660656281684584)	(7.0, 0.9974306799268209)	(8.0, 0.787761814895937)	(9.0, 0.68765951695526)	('>10', 7.756407381625621)	('>50', 2.4202117074116702)	('>100', 4.99521510837321)	('>500', 2.006796505774605)	('>1k', 3.086841510221261)	('>5k', 0.0699198293700802)	('>10k+', 0.0)
SRR22134166_1	(1.0, 38.440270065488924)	(2.0, 13.5973675983064)	(3.0, 6.531172776409893)	(4.0, 3.828768062709769)	(5.0, 2.7530727118886555)	(6.0, 2.06326729865183)	(7.0, 1.642830505574814)	(8.0, 1.3575158411435373)	(9.0, 1.1639952336153638)	('>10', 12.995467236758875)	('>50', 3.6125768043621433)	('>100', 6.609687613665403)	('>500', 1.95300061884278)	('>1k', 2.0420039936287813)	('>5k', 0.2529207610046593)	('>10k+', 1.1560828779482342)
SRR22134166_1_paired	(1.0, 38.64581050344358)	(2.0, 13.838282108933594)	(3.0, 6.582425457738365)	(4.0, 3.807337748811935)	(5.0, 2.7825452940392017)	(6.0, 2.0529468920612306)	(7.0, 1.6128218869167372)	(8.0, 1.3540433567751782)	(9.0, 1.17420274779883)	('>10', 12.905698202452415)	('>50', 3.6415355108728558)	('>100', 6.653369440937733)	('>500', 1.9409767745002082)	('>1k', 2.0570770390234094)	('>5k', 0.29181544610065613)	('>10k+', 0.659111589594172)
SRR22134166_2	(1.0, 45.12282100319429)	(2.0, 12.988577794555912)	(3.0, 5.965457296253877)	(4.0, 3.546289779290728)	(5.0, 2.523994165380885)	(6.0, 1.912893422008738)	(7.0, 1.5744397353828579)	(8.0, 1.2635431449239103)	(9.0, 1.016879681548474)	('>10', 11.699465023998716)	('>50', 3.2954367930175024)	('>100', 5.6927055511513185)	('>500', 1.6383105566938343)	('>1k', 1.65300324899243)	('>5k', 0.10618280360642682)	('>10k+', 0.0)
SRR22134166_2_paired	(1.0, 42.67114589170002)	(2.0, 13.592530324534113)	(3.0, 6.239798782880799)	(4.0, 3.7210366448623904)	(5.0, 2.6195011874340346)	(6.0, 2.0001115489015926)	(7.0, 1.6549063490171898)	(8.0, 1.2911435089218126)	(9.0, 1.0686316491056118)	('>10', 12.225706798914429)	('>50', 3.4594077300384005)	('>100', 5.942872948254369)	('>500', 1.708512936991207)	('>1k', 1.692725691214083)	('>5k', 0.11196800722994729)	('>10k+', 0.0)
SRR22134167_1	(1.0, 40.50962517232234)	(2.0, 14.970271662999721)	(3.0, 6.992766790666229)	(4.0, 3.9766035169370744)	(5.0, 2.75615542921073)	(6.0, 1.9483722834066444)	(7.0, 1.5584808360482794)	(8.0, 1.325027756595401)	(9.0, 1.0944621213275763)	('>10', 11.645254946346933)	('>50', 3.066935108580541)	('>100', 5.41009326020898)	('>500', 1.622922443470625)	('>1k', 1.882556562516816)	('>5k', 0.29893340745917546)	('>10k+', 0.9415387019029328)
SRR22134167_1_paired	(1.0, 41.10061795529097)	(2.0, 15.273098667557155)	(3.0, 6.8891363165627055)	(4.0, 3.93269075296757)	(5.0, 2.7263201054779826)	(6.0, 1.990204980903729)	(7.0, 1.566336228550877)	(8.0, 1.2706895819723376)	(9.0, 1.1031273302811)	('>10', 11.42619426932886)	('>50', 2.962743324005461)	('>100', 5.486652051907571)	('>500', 1.6194479257325387)	('>1k', 1.8815731678482561)	('>5k', 0.21842355136927175)	('>10k+', 0.5527437902435736)
SRR22134167_2	(1.0, 49.23029835436743)	(2.0, 13.691055643445926)	(3.0, 6.019588354075389)	(4.0, 3.484045121084609)	(5.0, 2.3571727658587314)	(6.0, 1.815994637822418)	(7.0, 1.39350272571381)	(8.0, 1.1029445167036394)	(9.0, 0.9634784764964398)	('>10', 9.823642168135049)	('>50', 2.613635280336014)	('>100', 4.605281115810273)	('>500', 1.3179283805590163)	('>1k', 1.4822274920524388)	('>5k', 0.09920496753874229)	('>10k+', 0.0)
SRR22134167_2_paired	(1.0, 46.30292256906332)	(2.0, 14.43981679500704)	(3.0, 6.429349846270416)	(4.0, 3.664286970783589)	(5.0, 2.5139735216043477)	(6.0, 1.8857640429386833)	(7.0, 1.4809428652236556)	(8.0, 1.171772570954986)	(9.0, 1.0196831051975952)	('>10', 10.380948130989749)	('>50', 2.80790790153)	('>100', 4.856784200272332)	('>500', 1.4254195985223044)	('>1k', 1.5335956282116374)	('>5k', 0.08683225343033422)	('>10k+', 0.0)
SRR22134168_1	(1.0, 40.053645431516856)	(2.0, 13.786428565726325)	(3.0, 6.000651983170415)	(4.0, 3.516446226055751)	(5.0, 2.4131143715211207)	(6.0, 1.8047727182695976)	(7.0, 1.3899448740193978)	(8.0, 1.1342180423145176)	(9.0, 0.9863975584339488)	('>10', 11.293623312294006)	('>50', 3.4413956128421437)	('>100', 6.523945337749327)	('>500', 2.202821016195461)	('>1k', 3.2680703099646387)	('>5k', 0.43710227563603976)	('>10k+', 1.7474223642901663)
