Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
SRR22134165_1_paired	(22.0, 10.0)	(23.0, 52.0)	(24.0, 239.0)	(25.0, 847.0)	(26.0, 2780.0)	(27.0, 7385.0)	(28.0, 16955.0)	(29.0, 34614.0)	(30.0, 64069.0)	(31.0, 110400.0)	(32.0, 181036.0)	(33.0, 289559.0)	(34.0, 465529.0)	(35.0, 759478.0)	(36.0, 1303260.0)	(37.0, 2443612.0)	(38.0, 5050011.0)	(39.0, 8645282.0)	(40.0, 2370212.0)																				
SRR22134165_2	(12.0, 50.0)	(13.0, 650.0)	(14.0, 1935.0)	(15.0, 5699.0)	(16.0, 16076.0)	(17.0, 34616.0)	(18.0, 53816.0)	(19.0, 71606.0)	(20.0, 87478.0)	(21.0, 101920.0)	(22.0, 117391.0)	(23.0, 134230.0)	(24.0, 155498.0)	(25.0, 178493.0)	(26.0, 206493.0)	(27.0, 238831.0)	(28.0, 277553.0)	(29.0, 320564.0)	(30.0, 374698.0)	(31.0, 440538.0)	(32.0, 524998.0)	(33.0, 637430.0)	(34.0, 793310.0)	(35.0, 1020471.0)	(36.0, 1371815.0)	(37.0, 1963297.0)	(38.0, 3179236.0)	(39.0, 6194354.0)	(40.0, 4669059.0)										
SRR22134165_2_paired	(18.0, 10.0)	(19.0, 132.0)	(20.0, 617.0)	(21.0, 2296.0)	(22.0, 6441.0)	(23.0, 14525.0)	(24.0, 29306.0)	(25.0, 50926.0)	(26.0, 81123.0)	(27.0, 120620.0)	(28.0, 169916.0)	(29.0, 228747.0)	(30.0, 298378.0)	(31.0, 382376.0)	(32.0, 483822.0)	(33.0, 612055.0)	(34.0, 781639.0)	(35.0, 1019826.0)	(36.0, 1382210.0)	(37.0, 1983504.0)	(38.0, 3201657.0)	(39.0, 6214667.0)	(40.0, 4680537.0)																
SRR22134166_1	(16.0, 3.0)	(17.0, 12.0)	(18.0, 29.0)	(19.0, 109.0)	(20.0, 364.0)	(21.0, 1127.0)	(22.0, 2833.0)	(23.0, 6182.0)	(24.0, 12366.0)	(25.0, 22472.0)	(26.0, 37943.0)	(27.0, 59511.0)	(28.0, 89007.0)	(29.0, 134703.0)	(30.0, 205661.0)	(31.0, 294624.0)	(32.0, 410382.0)	(33.0, 576868.0)	(34.0, 829658.0)	(35.0, 1252213.0)	(36.0, 2030532.0)	(37.0, 3647421.0)	(38.0, 7149824.0)	(39.0, 11210224.0)	(40.0, 2812913.0)														
SRR22134166_1_paired	(20.0, 1.0)	(21.0, 4.0)	(22.0, 9.0)	(23.0, 64.0)	(24.0, 284.0)	(25.0, 1109.0)	(26.0, 3492.0)	(27.0, 9533.0)	(28.0, 21630.0)	(29.0, 44123.0)	(30.0, 83186.0)	(31.0, 142241.0)	(32.0, 236237.0)	(33.0, 381233.0)	(34.0, 613685.0)	(35.0, 1017926.0)	(36.0, 1776788.0)	(37.0, 3385399.0)	(38.0, 6917150.0)	(39.0, 11114113.0)	(40.0, 2831270.0)																		
SRR22134166_2	(12.0, 89.0)	(13.0, 1129.0)	(14.0, 3570.0)	(15.0, 10479.0)	(16.0, 28534.0)	(17.0, 61078.0)	(18.0, 96365.0)	(19.0, 127390.0)	(20.0, 153755.0)	(21.0, 177516.0)	(22.0, 201364.0)	(23.0, 229376.0)	(24.0, 261878.0)	(25.0, 298841.0)	(26.0, 339883.0)	(27.0, 390161.0)	(28.0, 443885.0)	(29.0, 510175.0)	(30.0, 588385.0)	(31.0, 683296.0)	(32.0, 805397.0)	(33.0, 961821.0)	(34.0, 1175606.0)	(35.0, 1482293.0)	(36.0, 1939980.0)	(37.0, 2688191.0)	(38.0, 4133908.0)	(39.0, 7404645.0)	(40.0, 5587991.0)										
SRR22134166_2_paired	(17.0, 2.0)	(18.0, 22.0)	(19.0, 204.0)	(20.0, 1081.0)	(21.0, 4240.0)	(22.0, 11908.0)	(23.0, 26887.0)	(24.0, 53279.0)	(25.0, 92264.0)	(26.0, 145211.0)	(27.0, 213940.0)	(28.0, 293458.0)	(29.0, 386856.0)	(30.0, 495033.0)	(31.0, 618980.0)	(32.0, 766096.0)	(33.0, 944733.0)	(34.0, 1174275.0)	(35.0, 1488604.0)	(36.0, 1954219.0)	(37.0, 2712239.0)	(38.0, 4162006.0)	(39.0, 7431219.0)	(40.0, 5602721.0)															
SRR22134167_1	(14.0, 1.0)	(15.0, 2.0)	(16.0, 1.0)	(17.0, 11.0)	(18.0, 23.0)	(19.0, 104.0)	(20.0, 401.0)	(21.0, 1035.0)	(22.0, 2591.0)	(23.0, 5720.0)	(24.0, 11356.0)	(25.0, 20422.0)	(26.0, 34629.0)	(27.0, 53476.0)	(28.0, 81605.0)	(29.0, 124595.0)	(30.0, 188271.0)	(31.0, 272395.0)	(32.0, 386909.0)	(33.0, 552940.0)	(34.0, 804788.0)	(35.0, 1220270.0)	(36.0, 1973910.0)	(37.0, 3498768.0)	(38.0, 6724685.0)	(39.0, 10730011.0)	(40.0, 2906884.0)												
SRR22134167_1_paired	(20.0, 2.0)	(21.0, 1.0)	(22.0, 14.0)	(23.0, 57.0)	(24.0, 283.0)	(25.0, 1031.0)	(26.0, 3162.0)	(27.0, 8582.0)	(28.0, 19717.0)	(29.0, 40510.0)	(30.0, 75354.0)	(31.0, 130105.0)	(32.0, 215690.0)	(33.0, 349849.0)	(34.0, 567700.0)	(35.0, 943821.0)	(36.0, 1655654.0)	(37.0, 3144205.0)	(38.0, 6383259.0)	(39.0, 10547729.0)	(40.0, 2907035.0)																		
SRR22134167_2	(11.0, 1.0)	(12.0, 113.0)	(13.0, 1239.0)	(14.0, 5180.0)	(15.0, 15027.0)	(16.0, 39355.0)	(17.0, 81756.0)	(18.0, 123652.0)	(19.0, 162378.0)	(20.0, 193602.0)	(21.0, 221728.0)	(22.0, 248838.0)	(23.0, 280431.0)	(24.0, 315828.0)	(25.0, 355841.0)	(26.0, 400481.0)	(27.0, 453681.0)	(28.0, 512812.0)	(29.0, 583784.0)	(30.0, 666485.0)	(31.0, 764716.0)	(32.0, 884216.0)	(33.0, 1041888.0)	(34.0, 1255585.0)	(35.0, 1548270.0)	(36.0, 1978541.0)	(37.0, 2668296.0)	(38.0, 3943219.0)	(39.0, 6555154.0)	(40.0, 4293706.0)									
SRR22134167_2_paired	(18.0, 25.0)	(19.0, 277.0)	(20.0, 1524.0)	(21.0, 5730.0)	(22.0, 15591.0)	(23.0, 34969.0)	(24.0, 67755.0)	(25.0, 116187.0)	(26.0, 179813.0)	(27.0, 258185.0)	(28.0, 349087.0)	(29.0, 454637.0)	(30.0, 570988.0)	(31.0, 700376.0)	(32.0, 846661.0)	(33.0, 1024973.0)	(34.0, 1252704.0)	(35.0, 1554702.0)	(36.0, 1994222.0)	(37.0, 2696849.0)	(38.0, 3974418.0)	(39.0, 6584806.0)	(40.0, 4309281.0)																
SRR22134168_1	(13.0, 1.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 4.0)	(17.0, 15.0)	(18.0, 33.0)	(19.0, 123.0)	(20.0, 409.0)	(21.0, 1190.0)	(22.0, 3002.0)	(23.0, 6663.0)	(24.0, 12650.0)	(25.0, 23377.0)	(26.0, 38938.0)	(27.0, 59200.0)	(28.0, 87957.0)	(29.0, 132248.0)	(30.0, 198694.0)	(31.0, 278984.0)	(32.0, 376993.0)	(33.0, 516756.0)	(34.0, 730463.0)	(35.0, 1083604.0)	(36.0, 1732593.0)	(37.0, 3090851.0)	(38.0, 6148417.0)	(39.0, 10394608.0)	(40.0, 2953807.0)											
SRR22134168_1_paired	(21.0, 3.0)	(22.0, 9.0)	(23.0, 71.0)	(24.0, 247.0)	(25.0, 985.0)	(26.0, 3038.0)	(27.0, 8189.0)	(28.0, 19184.0)	(29.0, 39051.0)	(30.0, 72414.0)	(31.0, 124772.0)	(32.0, 204841.0)	(33.0, 329870.0)	(34.0, 530582.0)	(35.0, 873652.0)	(36.0, 1515049.0)	(37.0, 2872000.0)	(38.0, 5958708.0)	(39.0, 10320071.0)	(40.0, 2976141.0)																			
SRR22134168_2	(11.0, 1.0)	(12.0, 79.0)	(13.0, 854.0)	(14.0, 3064.0)	(15.0, 9130.0)	(16.0, 25405.0)	(17.0, 54527.0)	(18.0, 84883.0)	(19.0, 112758.0)	(20.0, 137473.0)	(21.0, 156421.0)	(22.0, 177668.0)	(23.0, 203660.0)	(24.0, 231647.0)	(25.0, 264241.0)	(26.0, 301892.0)	(27.0, 348148.0)	(28.0, 398732.0)	(29.0, 457721.0)	(30.0, 530838.0)	(31.0, 617238.0)	(32.0, 731547.0)	(33.0, 875808.0)	(34.0, 1074945.0)	(35.0, 1362252.0)	(36.0, 1796637.0)	(37.0, 2506596.0)	(38.0, 3857713.0)	(39.0, 6836500.0)	(40.0, 4713202.0)									
SRR22134168_2_paired	(17.0, 2.0)	(18.0, 18.0)	(19.0, 182.0)	(20.0, 993.0)	(21.0, 3758.0)	(22.0, 10600.0)	(23.0, 23594.0)	(24.0, 46865.0)	(25.0, 80879.0)	(26.0, 127376.0)	(27.0, 187424.0)	(28.0, 257893.0)	(29.0, 341408.0)	(30.0, 438464.0)	(31.0, 549357.0)	(32.0, 685237.0)	(33.0, 849987.0)	(34.0, 1064109.0)	(35.0, 1362166.0)	(36.0, 1809286.0)	(37.0, 2532420.0)	(38.0, 3885879.0)	(39.0, 6863248.0)	(40.0, 4727732.0)															
SRR22134169_1	(17.0, 5.0)	(18.0, 24.0)	(19.0, 87.0)	(20.0, 292.0)	(21.0, 821.0)	(22.0, 1984.0)	(23.0, 4319.0)	(24.0, 8795.0)	(25.0, 17907.0)	(26.0, 33289.0)	(27.0, 52354.0)	(28.0, 71897.0)	(29.0, 98751.0)	(30.0, 138123.0)	(31.0, 187633.0)	(32.0, 241584.0)	(33.0, 304657.0)	(34.0, 391544.0)	(35.0, 516919.0)	(36.0, 734938.0)	(37.0, 1192792.0)	(38.0, 2553599.0)	(39.0, 8723170.0)	(40.0, 12707269.0)															
SRR22134169_1_paired	(21.0, 2.0)	(22.0, 18.0)	(23.0, 63.0)	(24.0, 243.0)	(25.0, 773.0)	(26.0, 2010.0)	(27.0, 4535.0)	(28.0, 9956.0)	(29.0, 19674.0)	(30.0, 35466.0)	(31.0, 59747.0)	(32.0, 95723.0)	(33.0, 152090.0)	(34.0, 238045.0)	(35.0, 373376.0)	(36.0, 611744.0)	(37.0, 1097290.0)	(38.0, 2479317.0)	(39.0, 8614947.0)	(40.0, 12649847.0)																			
