Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
SRR22134166_2	SRR22134166_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30786981.0	2.3 Gbp	0.0	62-76	48.0	56.53851076720562	75.58614847620167	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	fail
SRR22134166_2_paired	SRR22134166_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28579477.0	2.1 Gbp	0.0	36-76	48.0	54.611106760748505	74.55484181883385	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	fail
SRR22134167_1	SRR22134167_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29595803.0	2.2 Gbp	0.0	60-76	47.0	53.43003437386137	75.53663541414977	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	warn
SRR22134167_1_paired	SRR22134167_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26993760.0	2 Gbp	0.0	36-76	48.0	54.109402871834156	75.16668667128995	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	warn	warn
SRR22134167_2	SRR22134167_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	29595803.0	2.2 Gbp	0.0	62-76	48.0	60.784636664667836	75.54930592692484	76	pass	pass	warn	pass	fail	warn	pass	warn	warn	pass	warn
SRR22134167_2_paired	SRR22134167_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26993760.0	2 Gbp	0.0	36-76	48.0	58.517030590604705	74.29684912364932	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	warn
SRR22134168_1	SRR22134168_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27871580.0	2.1 Gbp	0.0	62-76	46.0	51.76085778134662	75.53800886063868	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	fail
SRR22134168_1_paired	SRR22134168_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25848877.0	1.9 Gbp	0.0	36-76	47.0	52.3689412721602	75.01609203370808	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	warn	fail
SRR22134168_2	SRR22134168_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27871580.0	2.1 Gbp	0.0	62-76	47.0	57.71045017095421	75.53684172192607	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	fail
SRR22134168_2_paired	SRR22134168_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25848877.0	1.9 Gbp	0.0	36-76	47.0	55.775770520644784	74.51864775402042	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	fail
SRR22134169_1	SRR22134169_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27982753.0	2.1 Gbp	0.0	61-76	46.0	35.12981896741218	75.5419413879685	76	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	fail
SRR22134169_1_paired	SRR22134169_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26444866.0	1.9 Gbp	0.0	36-76	46.0	35.37256837093493	75.00216359576184	76	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	fail
SRR22134169_2	SRR22134169_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	27982753.0	2.1 Gbp	0.0	63-76	47.0	40.572446963763134	75.56584661273321	76	pass	pass	warn	pass	fail	pass	pass	warn	fail	warn	fail
SRR22134169_2_paired	SRR22134169_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	26444866.0	1.9 Gbp	0.0	36-76	47.0	38.77634594684842	74.80702303426305	76	pass	pass	warn	pass	fail	warn	pass	warn	fail	warn	fail
SRR22134170_1	SRR22134170_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35009741.0	2.6 Gbp	0.0	63-76	49.0	46.056231557365315	75.52884007339557	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	fail
SRR22134170_1_paired	SRR22134170_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32770763.0	2.4 Gbp	0.0	36-76	49.0	46.620324649297196	75.34280016611149	76	pass	pass	pass	pass	fail	pass	pass	warn	fail	warn	fail
SRR22134170_2	SRR22134170_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	35009741.0	2.6 Gbp	0.0	63-76	49.0	52.33953403151139	75.573523494504	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	fail
SRR22134170_2_paired	SRR22134170_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	32770763.0	2.4 Gbp	0.0	36-76	49.0	50.63262071024819	74.67380655738775	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	fail
SRR22134171_1	SRR22134171_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30341816.0	2.2 Gbp	0.0	35-76	45.0	39.36117165824062	75.54269846603776	76	pass	pass	pass	pass	fail	warn	pass	warn	fail	fail	fail
SRR22134171_1_paired	SRR22134171_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28453423.0	2.1 Gbp	0.0	36-76	46.0	40.28758943258564	74.86601974040171	76	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	fail
SRR22134171_2	SRR22134171_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	30341816.0	2.2 Gbp	0.0	63-76	47.0	46.40947138197711	75.57025690222365	76	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	fail
SRR22134171_2_paired	SRR22134171_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	28453423.0	2.1 Gbp	0.0	36-76	47.0	44.413088231359005	74.7825621191517	76	pass	pass	warn	pass	fail	pass	pass	warn	fail	pass	fail
SRR22134172_1	SRR22134172_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25382138.0	1.9 Gbp	0.0	61-76	47.0	53.77562331957727	75.53857047030475	76	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	fail
SRR22134172_1_paired	SRR22134172_1_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23967171.0	1.8 Gbp	0.0	36-76	47.0	54.47914905601231	75.23023534984584	76	pass	pass	pass	pass	fail	pass	pass	warn	warn	warn	fail
SRR22134172_2	SRR22134172_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25382138.0	1.9 Gbp	0.0	61-76	47.0	58.96018482444171	75.60092301917199	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	fail
SRR22134172_2_paired	SRR22134172_2_paired.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	23967171.0	1.7 Gbp	0.0	36-76	47.0	57.640465984557906	74.80247944156613	76	pass	pass	warn	pass	fail	pass	pass	warn	warn	pass	fail
